model,horizon_years,n_forecasts,ME,MAE,RMSE,MAPE
Rolling AR,3,26,10.131830955055575,35.328166500779254,48.95190574667282,0.44701513323538195
Rolling AR,5,24,-5.407059357604319,35.948212325489095,51.23785520926568,0.3794642093454734
Rolling AR + Futures,3,9,17.960272529485678,40.109557315685976,52.5105990970917,0.5491144320459386
Rolling AR + Futures,5,7,7.571707068338829,36.6143638967961,53.23033478323661,0.5391371932907426
